iter	Passed	Remaining
0	193	193417
1	216	107968
2	240	80077
3	263	65648
4	281	56072
5	297	49232
6	309	43854
7	321	39843
8	336	37103
9	351	34840
10	369	33230
11	389	32105
12	415	31510
13	443	31215
14	464	30507
15	484	29803
16	506	29298
17	526	28714
18	544	28106
19	560	27448
20	575	26819
21	591	26292
22	607	25786
23	620	25250
24	637	24855
25	660	24727
26	687	24764
27	703	24408
28	719	24083
29	735	23775
30	749	23440
31	766	23188
32	783	22965
33	802	22798
34	818	22580
35	836	22388
36	850	22133
37	868	21987
38	888	21898
39	905	21739
40	921	21560
41	938	21407
42	954	21252
43	971	21106
44	988	20969
45	1012	21003
46	1028	20846
47	1045	20728
48	1061	20602
49	1091	20732
50	1119	20839
51	1138	20747
52	1155	20640
53	1170	20508
54	1186	20390
55	1204	20303
56	1220	20195
57	1242	20175
58	1262	20141
59	1280	20055
60	1297	19979
61	1318	19944
62	1338	19912
63	1361	19906
64	1381	19871
65	1399	19811
66	1420	19774
67	1441	19752
68	1461	19715
69	1478	19646
70	1496	19579
71	1519	19584
72	1543	19594
73	1557	19488
74	1571	19385
75	1585	19277
76	1601	19200
77	1617	19117
78	1633	19043
79	1653	19020
80	1675	19010
81	1695	18985
82	1720	19008
83	1744	19018
84	1760	18950
85	1776	18876
86	1792	18812
87	1807	18734
88	1821	18642
89	1833	18541
90	1849	18473
91	1861	18371
92	1873	18269
93	1886	18185
94	1901	18114
95	1917	18054
96	1936	18029
97	1954	17991
98	1968	17916
99	1982	17840
100	1997	17779
101	2013	17727
102	2028	17669
103	2047	17643
104	2066	17618
105	2086	17598
106	2107	17588
107	2125	17551
108	2149	17573
109	2175	17601
110	2197	17599
111	2215	17563
112	2235	17543
113	2254	17518
114	2271	17481
115	2291	17466
116	2309	17426
117	2326	17388
118	2344	17358
119	2367	17360
120	2391	17372
121	2415	17380
122	2438	17388
123	2460	17382
124	2480	17361
125	2501	17350
126	2521	17334
127	2543	17324
128	2559	17279
129	2578	17256
130	2604	17280
131	2633	17317
132	2662	17353
133	2686	17363
134	2705	17336
135	2727	17326
136	2752	17341
137	2773	17326
138	2796	17320
139	2813	17280
140	2842	17317
141	2863	17303
142	2877	17243
143	2891	17190
144	2908	17147
145	2927	17122
146	2946	17098
147	2963	17062
148	2981	17026
149	2996	16981
150	3012	16935
151	3029	16899
152	3051	16890
153	3067	16852
154	3082	16803
155	3094	16743
156	3105	16676
157	3118	16620
158	3134	16581
159	3152	16550
160	3170	16522
161	3194	16525
162	3215	16509
163	3242	16528
164	3271	16556
165	3297	16566
166	3316	16542
167	3336	16522
168	3353	16491
169	3374	16476
170	3393	16453
171	3414	16435
172	3431	16405
173	3450	16382
174	3484	16425
175	3507	16419
176	3528	16408
177	3548	16386
178	3564	16347
179	3582	16322
180	3604	16308
181	3625	16296
182	3645	16276
183	3665	16255
184	3694	16277
185	3719	16278
186	3742	16271
187	3770	16284
188	3792	16272
189	3810	16245
190	3828	16215
191	3850	16202
192	3870	16185
193	3892	16172
194	3921	16187
195	3942	16171
196	3961	16148
197	3977	16111
198	3997	16091
199	4015	16062
200	4035	16039
201	4051	16005
202	4067	15971
203	4083	15932
204	4099	15897
205	4119	15877
206	4133	15834
207	4147	15791
208	4164	15759
209	4179	15721
210	4194	15683
211	4211	15653
212	4226	15617
213	4242	15583
214	4272	15599
215	4295	15590
216	4318	15583
217	4349	15603
218	4382	15627
219	4414	15652
220	4433	15627
221	4451	15601
222	4469	15573
223	4487	15544
224	4503	15510
225	4523	15493
226	4550	15495
227	4570	15476
228	4586	15441
229	4602	15407
230	4617	15370
231	4632	15335
232	4649	15304
233	4664	15269
234	4681	15240
235	4695	15200
236	4710	15164
237	4724	15126
238	4739	15092
239	4757	15066
240	4775	15040
241	4789	15000
242	4800	14955
243	4812	14910
244	4826	14872
245	4839	14833
246	4851	14791
247	4865	14754
248	4880	14719
249	4893	14681
250	4906	14641
251	4919	14601
252	4933	14565
253	4947	14529
254	4964	14503
255	4984	14486
256	5001	14458
257	5013	14418
258	5025	14378
259	5039	14342
260	5054	14311
261	5068	14277
262	5082	14242
263	5096	14208
264	5108	14168
265	5122	14135
266	5136	14102
267	5149	14063
268	5162	14027
269	5176	13996
270	5192	13967
271	5205	13933
272	5218	13896
273	5231	13861
274	5244	13827
275	5256	13789
276	5268	13751
277	5281	13716
278	5294	13683
279	5306	13645
280	5318	13607
281	5330	13572
282	5343	13537
283	5355	13501
284	5368	13469
285	5381	13435
286	5395	13403
287	5413	13383
288	5425	13347
289	5437	13313
290	5450	13278
291	5463	13246
292	5476	13214
293	5489	13182
294	5500	13145
295	5513	13114
296	5526	13080
297	5539	13050
298	5552	13017
299	5563	12981
300	5576	12949
301	5588	12917
302	5602	12888
303	5618	12863
304	5635	12840
305	5646	12807
306	5658	12773
307	5672	12744
308	5683	12710
309	5694	12675
310	5706	12642
311	5719	12611
